PositionId,ShiftType,DayOfWeek,Month,IsWeekend,Label
3E1F785D-7233-4302-9607-08DD17656FFB,7,0,2,True,1
3E1F785D-7233-4302-9607-08DD17656FFB,8,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,9,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,10,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,11,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,12,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,13,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,14,0,2,True,1
3E1F785D-7233-4302-9607-08DD17656FFB,15,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,16,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,17,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,18,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,19,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,20,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,21,0,2,True,0
3E1F785D-7233-4302-9607-08DD17656FFB,22,0,2,True,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,1,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,2,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,3,4,1,False,1
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,4,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,5,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,6,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,7,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,8,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,9,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,10,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,11,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,12,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,13,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,14,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,15,4,1,False,0
CB9E8FC8-956C-4FA4-9610-08DD17656FFB,16,4,1,False,0
